abaissement	[n.m] - recessione [n]
abaisser	[vblex] - abbassare [vblex]
abandon	[n] - abbandono [n]
abandonner	[vblex] - abbandonare [vblex]
abattement	[n] - abbattimento [n.m]
abattre	[vblex] - abbattere [vblex]
abattre	[vblex] - sconfiggere [vblex]
abbaye	[n] - abbazia [n.f]
abbé	[n] - abate [n.m]
abdiquer	[vblex] - abdicare [vblex]
abdomen	[n] - pancia [n.f]
abeille	[n] - ape [n]
aberration	[n] - aberrazione [n]
ablation	[n] - ablazione [n]
abnégation	[n] - abnegazione [n]
abolition	[n] - abolizione [n]
abondance	[n] - abbondanza [n]
abondant	[adj.f] - abbondante [adj]
abondant	[adj.GD] - abbondante [adj]
abondant	[adj.m] - abbondante [adj]
abonder	[vblex] - abbondare [vblex]
abordage	[n] - abbordaggio [n]
aborigène	[n] - aborigeno [n.f]
abri	[n] - riparo [n]
abriter	[vblex] - cautelare [vblex]
abréger	[vblex] - abbreviare [vblex]
absence	[n] - assenza [n]
absentéisme	[n] - assenteismo [n]
absolu	[adj] - assoluto [adj]
absolument	[adv] - assolutamente [adv]
absolument pas	[adv] - assolutamente [adv]
absolution	[n] - assoluzione [n]
absolutisme	[n] - assolutismo [n]
absorbant	[adj.f] - assorbente [adj]
absorbant	[adj.GD] - assorbente [adj]
absorbant	[adj.m] - assorbente [adj]
absorbé	[adj] - assorto [adj]
absorption	[n] - assorbimento [n.m]
abstention	[n] - astensione [n]
abstinence	[n] - astinenza [n]
abstraction	[n] - astrazione [n]
abstrait	[adj] - astratto [adj]
absurde	[adj.mf] - assurdo [adj]
abus	[n.m.sp] - abuso [n]
abuser	[vblex] - abusare [vblex]
abîme	[n] - abisso [n]
académie	[n] - accademia [n]
académique	[adj.mf] - accademico [adj]
accent	[n] - accento [n]
acceptable	[adj] - accettabile [adj]
acceptation	[n] - accettazione [n]
accepter	[vblex] - accettare [vblex]
accessoire	[adj.mf] - accessorio [n]
accessoire	[n] - accessorio [n]
accident	[n] - incidente [n]
accidentel	[adj.f] - accidentale [adj]
accidentel	[adj.GD] - accidentale [adj]
accidentel	[adj.m] - accidentale [adj]
accidentellement	[adv] - accidentalmente [adv]
acclamation	[n] - acclamazione [n]
acclamer	[vblex] - acclamare [vblex]
acclimatation	[n] - acclimatazione [n]
acclimater	[vblex] - acclimatare [vblex]
accompagner	[vblex] - accompagnare [vblex]
accomplissement	[n] - compimento [n]
accord	[n] - accordo [n]
accord	[n] - conforme [adj]
accorder	[vblex] - accordare [vblex]
accorder	[vblex] - concedere [vblex]
accordéon	[n] - fisarmonica [n]
accordéoniste	[n] - fisarmonicista [n.GD.pl]
accotement	[n] - corsia di emergenza [n]
accouchement	[n] - parto [n]
accoutrement	[n.m] - abbigliamento [n]
accroissement	[n] - incremento [n]
accroître	[vblex] - incrementare [vblex]
accréditation	[n] - accreditamento [n.m]
accréditer	[vblex] - accreditare [vblex]
accumulation	[n] - cumulo [n.m]
accumuler	[vblex] - accumulare [vblex]
accuser	[vblex] - accusare [vblex]
accéder	[vblex] - accedere [vblex]
accélérateur	[adj] - acceleratore [adj]
accélérateur	[n] - acceleratore [adj]
accélération	[n] - accelerazione [n]
accélérer	[vblex] - accellerare [vblex]
achat	[n.m] - acquisto [n.m]
acheter	[vblex] - comprare [vblex]
acheteur	[n] - acquirente [n.mf]
achever	[vblex] - finire [vblex]
acide	[adj.mf] - acido [adj]
acide	[n] - acido [adj]
acier	[n] - acciaio [n]
acoustique	[adj.mf] - acustico [adj]
acoustique	[adj] - acustico [adj]
acoustique	[n] - acustica [n]
acoustiquement	[adv] - acusticamente [adv]
acquis	[n.m.sp] - esperienza [n]
acquisition	[n] - acquisto [n.m]
acquitter	[vblex] - assolvere [vblex]
acrobatie	[n] - acrobazia [n]
acroissement	[n.m] - ampliamento [n]
acte	[n.m.sg] - auto [n.sp.sp]
acte	[n.m] - atto [n.m]
acteur	[n] - attore [n]
actif	[adj] - attivo [adj]
actif	[n] - attivo [adj]
actif	[n] - avere [n]
action	[n.f.pl] - auto [n.sp.sp]
action	[n] - azione [n.mf]
actionnaire	[n] - azionista [n.f.pl]
activation	[n] - limite [n.m]
activement	[adv] - attivamente [adv]
activiste	[n] - attivista [n.f.pl]
activité	[n] - attività [n.f.sp]
actu	[n] - attualità [n.f.sp]
actualisation	[n] - aggiornamento [n.m]
actualiser	[vblex] - aggiornare [vblex]
actualité	[n] - attualità [n.f.sp]
actuel	[adj.f] - attuale [adj]
actuel	[adj.GD] - attuale [adj]
actuel	[adj.m] - attuale [adj]
actuel	[adj] - attuale [adj]
actuellement	[adv] - attualmente [adv]
adaptation	[n] - adeguamento [n.m]
adapter	[vblex] - adattare [vblex]
adapter	[vblex] - adeguare [vblex]
additif	[adj] - additivo [n]
additionnel	[adj.f] - supplementare [adj]
additionnel	[adj.GD] - supplementare [adj]
additionnel	[adj.m] - supplementare [adj]
additionnellement	[adv] - ulteriormente [adv]
adhésif	[adj] - adesivo [adj]
adhésion	[n] - adesione [n]
adieu	[n] - arrivederci [ij]
adjacent	[adj.f] - adiacente [adj]
adjacent	[adj.GD] - adiacente [adj]
adjacent	[adj.m] - adiacente [adj]
adjectif	[n] - aggettivo [n]
adjudication	[n] - allocazione [n]
admettre	[vblex] - ammettere [vblex]
administrateur	[n] - amministratore [n]
administratif	[adj] - amministrativo [adj]
administratif	[n] - amministrativo [adj]
administration	[n] - amministrazione [n]
administrer	[vblex] - amministrare [vblex]
admirable	[adj] - ammirabile [adj]
admiration	[n] - ammirazione [n]
admirer	[vblex] - ammirare [vblex]
adolescence	[n] - adolescenza [n]
adolescent	[n.f] - adolescente [adj]
adolescent	[n.GD] - adolescente [adj]
adolescent	[n.m] - adolescente [adj]
adonner	[vblex] - consacrare [vblex]
adopter	[vblex] - adottare [vblex]
adoption	[n] - adozione [n]
adorable	[adj] - adorabile [adj]
adoration	[n] - devozione [n]
adorer	[vblex] - adorare [vblex]
adosser	[vblex] - addossare [vblex]
adresse	[n] - direzione [n]
adresser	[vblex] - dirigere [vblex]
adroit	[adj.f] - abile [adj]
adroit	[adj.GD] - abile [adj]
adroit	[adj.m] - abile [adj]
adrénaline	[n] - adrenalina [n]
adulte	[n.mf] - adulto [n]
adultère	[n] - adulterio [n]
adverbe	[n] - avverbio [n]
adversaire	[n.mf] - avversario [n]
adversaire	[n.mf] - oppositore [n]
adverse	[adj.mf] - avverso [adj]
adéquatement	[adv] - adeguatamente [adv]
affable	[adj] - affabile [adj]
affaiblir	[vblex] - debilitare [vblex]
affaire	[n] - business [n]
affairer	[vblex] - agitare [vblex]
affamé	[adj] - affamato [adj]
affectif	[adj] - affettivo [adj]
affection	[n.f] - fine [n.mf]
affection	[n] - malattia [n]
affiche	[n.f] - poster [n]
afficher	[vblex] - annunciare [vblex]
affiliation	[n] - affiliazione [n]
affilier	[vblex] - affiliare [vblex]
affinité	[n] - affinità [n.f.sp]
affirmatif	[adj] - affermativo [adj]
affirmation	[n] - affermazione [n.f]
affirmer	[vblex] - affermare [vblex]
affliger	[vblex] - affliggere [vblex]
affluence	[n] - afflusso [n.m]
affluent	[n] - affluente [n]
affrontement	[n] - scontro [n]
affronter	[vblex] - affrontare [vblex]
affubler	[vblex] - vestire [vblex]
afin que	[cnjadv] - col fine di [cnjadv]
agence	[n] - agenzia [n]
aggravation	[n.f] - degradazione [n.f]
agile	[adj] - agile [adj]
agilité	[n] - agilità [n.f.sp]
agiter	[vblex] - agitare [vblex]
agneau	[n.m] - agnello [n]
agonie	[n] - agonia [n.f]
agoniser	[vblex] - agonizzare [vblex]
agrandissement	[n.m] - ampliamento [n]
agresser	[vblex] - aggredire [vblex]
agresseur	[n] - aggressore [n]
agressif	[adj] - aggressivo [adj]
agression	[n] - aggressione [n.f]
agressivité	[n] - aggressività [n.f.sp]
agricole	[adj] - agricolo [adj]
agriculteur	[n] - agricoltore [adj]
agriculture	[n] - agricoltura [n]
agréablement	[adv] - gratamente [adv]
agréer	[vblex] - accettare [vblex]
agrémenter	[vblex] - adornare [vblex]
aide	[n.f] - aiuto [n.m]
aider	[vblex] - aiutare [vblex]
aider	[vblex] - ausiliario [adj]
aigle	[n.mf] - aquila [n]
aiguille	[n.f] - ago [n.m]
aiguiller	[vblex] - orientare [vblex]
aiguisé	[adj] - affilato [adj]
ail	[n] - aglio [n]
aile	[n] - ala [n]
aimablement	[adv] - amabilmente [adv]
aimer	[vblex] - amare [vblex]
ainsi	[adv] - così [adv]
ainsi que	[cnjadv] - così come [adv]
air	[n] - aria [n.f]
aire	[n] - sfera [n]
aisance	[n] - facilità [n.f.sp]
aisselle	[n] - ascella [n]
aisé	[adj.f] - facile [adj]
aisé	[adj.m] - facile [adj]
aisément	[adv] - facilmente [adv]
alambic	[n] - alambicco [n]
alarme	[n] - allarme [n]
album	[n] - album [n.m.sp]
albédo	[n] - albedo [n]
alchimie	[n] - alchimia [n]
alchimiste	[n] - alchimista [adj]
alcool	[n] - alcoli [n]
alcoolique	[adj.mf] - alcolico [n]
alcoolique	[n.mf] - alcolico [n]
alcoolisme	[n.f] - alcolismo [n]
alerte	[adv] - avvisatamente [adv]
algue	[n] - alga [n]
algérien	[adj] - algerino [adj]
aligner	[vblex] - allineare [vblex]
alimentation	[n] - mangime [n.m]
alimenter	[vblex] - alimentare [adj]
aliénation	[n] - alienazione [n]
aliénation	[n] - trasferimento [n.m]
allant	[adj] - attivo [adj]
allant	[n.m] - disposizione [n]
allemand	[adj] - tedesco [adj]
allemand	[n] - tedesco [adj]
aller	[n.m] - monte ida [n]
aller	[vblex] - andare [vblex]
allergie	[n] - allergia [n]
alliage	[n.m] - lega [n]
alliance	[n] - alleanza [n]
allié	[n] - alleato [adj]
allouer	[vblex] - concedere [vblex]
allumer	[vblex] - accendere [vblex]
allure	[n.f] - aspetto [n]
allusion	[n] - allusione [n]
alluvion	[n.f] - alluvione [n]
allègrement	[adv] - allegramente [adv]
allégorie	[n] - allegoria [n]
allégresse	[n] - gioiello [n]
alors	[adv] - allora [adv]
alors	[cnjadv] - allora [adv]
alors que	[cnjadv] - mentre [cnjcoo]
alphabet	[n] - alfabeto [n]
alphabétique	[adj.mf] - alfabetico [adj]
alpin	[adj] - alpino [adj]
altercation	[n.f] - conflitto [n]
alterne	[adj.mf] - alternato [adj]
alterner	[vblex] - alternare [vblex]
altitude	[n] - altitudine [n]
altérer	[vblex] - alterare [vblex]
aluminium	[n] - alluminio [n]
aléa	[n] - caso [n]
amabilité	[n] - amabilità [n]
amalgame	[n.m] - amalgama [n]
amande	[n] - mandorla [n]
amandier	[n] - mandorlo [n]
amant	[n.f] - amante [n]
amant	[n.GD] - amante [n]
amant	[n.m] - amante [n]
amas	[n.m.sp] - mucchio [n]
amasser	[vblex] - accumulare [vblex]
amateur	[adj.mf] - amatore [n]
ambassade	[n] - agente diplomatico [n]
ambassadeur	[n] - ambasciatore [n]
ambiance	[n.f] - ambiente [n]
ambitieux	[adj.f] - ambizioso [adj]
ambitieux	[adj.m.sp] - ambizioso [adj]
ambitieux	[adj] - ambizioso [adj]
ambition	[n] - ambizione [n]
ambulance	[n] - ambulanza [n]
amen	[n] - amen [n]
amende	[n] - multa [n]
amendement	[n.m] - emendamento [n]
amener	[vblex] - portare [vblex]
ameublement	[n] - arredo [n]
ami	[adj] - amico [n]
ami	[n] - amico [n]
amicale	[n] - associazione [n]
amiral	[n] - ammiraglio [n]
amitié	[n] - amicizia [n]
amortissement	[n.m] - ammortamento [n.m]
amour	[n] - amato [n]
amoureux	[adj.f] - innamorato [n]
amoureux	[adj.m.sp] - innamorato [n]
amphithéâtre	[n] - anfiteatro [n]
amphitryon	[adj] - anfitrione [n]
ampleur	[n] - ampiezza [n]
ampoule	[n] - vescica [n]
amusement	[n.m] - divertimento [n]
